Date,CNA,LPN,RN,NH_No,Group,Day_of_Week,Is_Weekend,Month,Week_sin,Week_cos,CNA_lag_1,LPN_lag_1,RN_lag_1,CNA_lag_7,LPN_lag_7,RN_lag_7,CNA_lag_14,LPN_lag_14,RN_lag_14,CNA_lag_30,LPN_lag_30,RN_lag_30,CNA_rolling_mean_7,CNA_rolling_std_7,LPN_rolling_mean_7,LPN_rolling_std_7,RN_rolling_mean_7,RN_rolling_std_7
2024-04-01,87.72,57.75,27.25,1,1,0,0,4,-9.797174393178826e-16,-9.797174393178826e-16,,,,,,,,,,,,,,,,,,
2024-04-02,82.48,66.75,28.75,1,1,1,0,4,-9.797174393178826e-16,-9.797174393178826e-16,87.72,57.75,27.25,,,,,,,,,,,,,,,
2024-04-03,78.47,73.15,33.5,1,1,2,0,4,-9.797174393178826e-16,-9.797174393178826e-16,82.48,66.75,28.75,,,,,,,,,,,,,,,
2024-04-04,93.75,83.09,31.42,1,1,3,0,4,-9.797174393178826e-16,-9.797174393178826e-16,78.47,73.15,33.5,,,,,,,,,,,,,,,
2024-04-05,103.25,63.6,30.91,1,1,4,0,4,-9.797174393178826e-16,-9.797174393178826e-16,93.75,83.09,31.42,,,,,,,,,,,,,,,
2024-04-06,97.37,75.17,32.77,1,1,5,1,4,-9.797174393178826e-16,-9.797174393178826e-16,103.25,63.6,30.91,,,,,,,,,,,,,,,
2024-04-07,84.75,74.68,20.5,1,1,6,1,4,-9.797174393178826e-16,-9.797174393178826e-16,97.37,75.17,32.77,,,,,,,,,,89.6842857142857,8.808105844699446,70.59857142857143,8.455559174435537,29.300000000000004,4.448078236722012
2024-04-08,75.75,76.88,27.5,1,1,0,0,4,-9.797174393178826e-16,-9.797174393178826e-16,84.75,74.68,20.5,87.72,57.75,27.25,,,,,,,87.9742857142857,10.290234621787226,73.33142857142857,6.468769662956092,29.33571428571429,4.429841446157553
2024-04-09,102.25,70.1,40.75,1,1,1,0,4,-9.797174393178826e-16,-9.797174393178826e-16,75.75,76.88,27.5,82.48,66.75,28.75,,,,,,,90.79857142857142,11.203468850570982,73.81000000000002,6.008238787975514,31.050000000000004,6.152403324447015
2024-04-10,84.47,77.88,45.08,1,1,2,0,4,-9.797174393178826e-16,-9.797174393178826e-16,102.25,70.1,40.75,78.47,73.15,33.5,,,,,,,91.6557142857143,10.295796645788444,74.4857142857143,6.1850191515275075,32.70428571428572,8.152649583914132
2024-04-11,79.5,89.48,33.25,1,1,3,0,4,-9.797174393178826e-16,-9.797174393178826e-16,84.47,77.88,45.08,93.75,83.09,31.42,,,,,,,89.62,11.183224043181822,75.39857142857143,7.900300476503902,32.965714285714284,8.133922500128413
2024-04-12,93.27,66.62,42.53,1,1,4,0,4,-9.797174393178826e-16,-9.797174393178826e-16,79.5,89.48,33.25,103.25,63.6,30.91,,,,,,,88.19428571428571,9.69281496288678,75.83,7.200030092529716,34.62571428571429,8.802694392708894
2024-04-13,87.5,68.33,20.75,1,1,5,1,4,-9.797174393178826e-16,-9.797174393178826e-16,93.27,66.62,42.53,97.37,75.17,32.77,,,,,,,86.78428571428572,8.813583942118088,74.85285714285715,7.747831340200342,32.90857142857143,10.27437172218887
2024-04-14,84.0,44.88,25.75,1,1,6,1,4,-9.797174393178826e-16,-9.797174393178826e-16,87.5,68.33,20.75,84.75,74.68,20.5,,,,,,,86.67714285714285,8.846931133234303,70.59571428571428,13.733491735101289,33.65857142857143,9.369376408583141
2024-04-15,82.53,60.5,48.03,1,1,0,0,4,-9.797174393178826e-16,-9.797174393178826e-16,84.0,44.88,25.75,75.75,76.88,27.5,87.72,57.75,27.25,,,,87.64571428571428,7.75498303703895,68.25571428571428,13.878969530843976,36.59142857142857,10.288421369953426
2024-04-16,89.0,60.25,40.0,1,1,1,0,4,-9.797174393178826e-16,-9.797174393178826e-16,82.53,60.5,48.03,102.25,70.1,40.75,82.48,66.75,28.75,,,,85.75285714285714,4.551687285266531,66.84857142857143,14.157356660727592,36.48428571428572,10.241695590644579
2024-04-17,86.7,60.27,37.0,1,1,2,0,4,-9.797174393178826e-16,-9.797174393178826e-16,89.0,60.25,40.0,84.47,77.88,45.08,78.47,73.15,33.5,,,,86.07142857142857,4.524895684143539,64.33285714285715,13.415587593400105,35.33,9.5429467845804
